MT-TF	TrnF,RF00005,TRNF,TRNA,MTTF
KRTAP4-9	KAP4.9,KRTAP4.9
SLC27A3	ACSVL3,FATP3,MGC4365,VLCS-3,FATP-3
DNAH10	FLJ43808,KIAA2017
KRTAP2-4	KAP2.4,KRTAP2.4,KRTAP2-3,KRTAP2.3,KAP2.1B,KAP2.3
KRT23	K23,HAIK1,CK23,DKFZP434G032,MGC26158,CK-23,Cytokeratin-23,Keratin-23
KIR2DS5	CD158G,NKAT-9,NKAT9,Nkat9
KIR2DL5B	KIR2DL5,KIR2DL5.2,KIR2DLX,KIR2DL5.3,KIR2DL5.4,CD158F2,CD158F
KIR3DS1	NKAT-10,NKAT10,KIR-123FM,CD158E2,Nkat10,KIR-G1
KIR2DS1	CD158H,EB6ActII,EB6ActI,CD158a,P50.1
Y_RNA	Y_RNA
CCDC92	FLJ22471
Metazoa_SRP	Metazoa_SRP
KIR2DL5A	KIR2DL5,CD158F,KIR2DL5.1,KIR2DL5.3,CD158F1
KRT40	KA36,Cytokeratin-40,FLJ36600,CK-40,K40,Keratin-40
KRTAP1-1	KAP1.1,KAP1.1B,KAP1.1A,HB2A,KRTAP1.1,KAP1.6,KAP1.7,KRTAP1A,HKAP1.7,B2A
KRTAP4-11	KAP4.14,KRTAP4-14,KAP4.11,KRTAP4.14,KRTAP4.11
KRTAP2-5P	KAP2A,KRTAP2P1
KRTAP1-3	KAP1.3,KAP1.2,KAP1.9,KRTAP1.3,KRATP1.9,KRTAP1.8,KAP1.8A,KAP1.8B,KAP1.6,KAP1.8,B2B
KRTAP4-16	KAP4A,KRTAP4-16P,KRTAP4P1,HCG2042993
KRT12	K12,Cytokeratin-12,CK-12,Keratin-12,MECD1
KRTAP1-5	KAP1.5,KRTAP1.5
KRT39	KA35,Cytokeratin-39,CK-39,K39,Keratin-39
KRTAP3-4P	KAP3A,KRTAP3P1
KRTAP2-1	KAP2.1A,KRTAP2.1A,KRTAP2.1B,KAP2.1
KRTAP3-3	KAP3.3,KRTAP3.3
KRTAP2-3	KAP2.3,KRTAP2.3,KRTAP2-4,KRTAP2.4,KAP2.4
KRTAP4-12	KAP4.12,KRTAP4.12
KRTAP1-4	KAP1.4,KRTAP1.4
KRTAP4-8	KAP4.8,KRTAP4.8
LINC01839	EIF2B5-IT1,NONHSAG036865.2,HSALNG0031249,LINC01839
LINC02054	NONHSAG036864.2,HSALNG0031246,Lnc-CHRD-10
LINC00254	NCRNA00254,C16orf32,NONHSAG018284.2,HSALNG0108947,LINC00254
HS3ST6	HS3ST5,3-OST-6,H3-OST-6,3OST6,HAE8
MEIOB	C16orf73,MGC35212,SPGF22,Gs129
LINC02124	XX-DJ76P10__A.2,NONHSAG018285.2,HSALNG0108948,LINC02124
U6	U6,RNU6-50,RNU6P1
KRT18P40	--
ZNF430	FLJ13659
SNTG2	G2SYN,SYN5,Gamma-2-Syntrophin,Syntrophin-5
ZNF43	KOX27,ZNF39L1,HTF6,ZNF39
ZNF100	--
IMPDH1P5	--
ADI1	ARD,HMFT1638,MTCBP-1,SIPL,APL1,MtnD,FLJ10913,Fe-ARD,MTCBP1,Ni-ARD,Sip-L
DLG5	KIAA0583,P-Dlg,PDLG,LP-DLG,P-DLG5
TRAPPC12	TTC-15,CGI-87,TTC15,PEBAS,TRAMM
PPIAL4F	--
CCNYL6	--
U1	RF00003,U1
RNVU1-26	RF00003
RNVU1-2A	RNVU1.2a,VU1.2a,RNU1-12P,RF00003,RNU1P2,U1P2A
BRI3BPP1	--
ZNF85	HPF4,HTF1
VN1R84P	--
MTDHP4	--
PIWIL1	HIWI,CT80.1,PIWI,MIWI
RNU6-222P	--
OR9G4	OR11-216
OR5G3	OR5G3P,OR5G6P
OR9G3P	--
OR5G1P	OR11-104,OR93,OR5G2P,OR93HUM
OR5G4P	--
OR5G5P	--
BNIP3P24	--
ZNF66	ZNF66P,FLJ16537
OR9G2P	OR9G6
OR9G1	OR9G5
OR9G9	OR9G1
LINC02735	NONHSAG008344.2,HSALNG0084226,Lnc-OR5AK2-1
RNA5-8SN5	RNA5-8S5,RN5-8S1
TPO	TPX,Thyroperoxidase,TDH2A,MSA
KRTAP9-9	KAP9.9,KAP9.5,KRTAP9-5,KRTAP9.9,KRTAP9.5
KRTAP9-2	KAP9.2,KRTAP9.2
KRTAP9-4	KAP9.4,KRTAP9.4
KRTAP9-3	KAP9.3,KRTAP9.3
KCNQ2-AS1	NONHSAG032289.2,Lnc-PPDPF-2
KRTAP9-10P	--
KCNQ2	KCNA11,HNSPC,ENB1,BFNC,Kv7.2,EBN1,EBN,KV7.2,DEE7
KRTAP29-1	KAP29.2
KRTAP9-6	KAP9.6,KRTAP9L2,KRTAP9.6
KRTAP9-7	KAP9.7,KRTAP9L1,KRTAP9.7
KRTAP9-12P	--
KRTAP9-11P	KAP9A,KRTAP9P1
FTCD	Formimidoyltransferase-Cyclodeaminase,Formiminotransferase-Cyclodeaminase,LCHC1
ANKRD18DP	--
MREGP1	--
RNU6-821P	--
SINHCAF	C12orf14,FAM60A,TERA,L4
SUDS3P1	--
DLGAP2	ERICH1-AS1,C8orf68,DAP-2,SAPAP2,DAP2
FTCD-AS1	--
LSS	OSC,HOSC,CTRCT44,HYPT14,APMR4
SBNO2	KIAA0963,FLJ00173,Stno,Sno,STNO,SNO
PROP1	PROP-1,CPHD2
CTDP1	FCP1,CCFDN
RPS17	RPS17L1,RPS17L2,RPS17L,S17,MGC72007,DBA4
ERICH1	HSPC319
PRB1	PRB1M,PRB1L,PMF,PMS,PM
GARRE1	KIAA0355
LSM14A	RAP55A,RAP55,C19orf13,FAM61A,DKFZP434D1335,AlphaSNBP,HRAP55A,HRAP55
GOLGA6L10	GOLGA6L18
ZNF965P	--
DLG5-AS1	NONHSAG006301.2,HSALNG0079068,DLG5-AS1
GXYLT1P1	--
CYP4F34P	CYP4F-Se7[6:7:8]
CNN2P12	--
RN7SL284P	--
RNU6-1266P	--
SNX18P26	--
DSEL-AS1	NONHSAG024082.2,Lnc-CCDC102B-7,HSALNG0122181
LINC00328-2P	NCRNA00328-2P,NCRNA00328B
ANKRD20A9P	--
DSEL	NCAG1,DE-Epi2,C18orf4,FLJ11477
RNU6-55P	RNU6-55
DNM1P38	DNM1DN10-2,DNM1DN11-8,DNM1DN10@,DNM1DN11@,DNM1P42
FLJ13224	Lnc-DDX11-4
CPEB1	CPEB,FLJ13203,CPE-BP1,HCPEB-1,H-CPEB,CPEB-1
CRIM1	S52,CRIM-1
RPL21P36	RPL21_9_206
CRIM1-DT	NONHSAG027461.2,HSALNG0014194,Lnc-FEZ2-7
SPATC1L	C21orf56
DLGAP2-AS1	NONHSAG049362.2,HSALNG0062942,DLGAP2-AS1
SLC45A2	OCA4,MATP,AIM-1,AIM1,Underwhite,SHEP5,1A1
ELMO2P1	--
GOLGA8DP	GOLGA8D
RXFP3	GPCR135,SALPR,RXFPR3,RLN3R1
ADAMTS12	ADAM-TS12,ADAMTS-12,PRO4389
GNG5P1	GNG5P
CYFIP1	P140SRA-1,KIAA0068,SHYC,P140sra-1,SRA-1,Sra-1,SRA1
APOBEC3B-AS1	NONHSAG033947.2,HSALNG0135464,CTA-150C2.16,APOBEC3B-AS1
APOBEC3A	PHRBN,ARP3,Phorbolin-1,A3A,BK150C2.1
SEPTIN9-DT	NONHSAG022851.2,HSALNG0118918,Lnc-SRSF2-4
AP2A2	HYPJ,HIP9,KIAA0899,CLAPA2,ADTAB,Alpha2-Adaptin,DKFZP564D1864,HIP-9
PTCHD3	PTR,FLJ44037
ABCB10P1	M-ABC2,MABC2,ABCB10P2,ABCB10P
SEPTIN9	KIAA0991,AF17q25,PNUTL4,SeptD1,SEPT9,MSF1,MSF,Septin-9,SINT1,NAPB
FRG1-DT	NONHSAG039597.2,HSALNG0039374,FRG1-DT
LINC01596	TCONS_00007705,NONHSAG039599.2,HSALNG0039381,LINC01596
RNU1-51P	--
GOLGA6L22	--
ODAD2P1	ARMC4P1
KRTAP5-2	KRTAP5.2,KRTAP5-8,KRTAP5.8,KAP5-8,KAP5.2
FAM210CP	--
TRIAP1P1	BA748L13.4,C10orf135
LINC02708	NONHSAG007386.2,Lnc-KRTAP5-6-1,HSALNG0082138
CNTNAP2	KIAA0868,NRXN4,Caspr2,CASPR2,AUTS15,PTHSL1,CDFE
FAM99B	DKFZp781M09150,NONHSAG007385.2,HSALNG0082137,HSALNG0082136,FAM99B
FAM99A	FLJ42833,NONHSAG007384.2,HSALNG0082135,FAM99A
KRTAP5-3	KRTAP5.3,KRTAP5-9,KRTAP5.9,KAP5-9,KAP5.3
KRTAP5-4	KRTAP5.4,KAP5.4
KRTAP5-1	KRTAP5.1,KRN1L,KAP5.1
GOLGA8EP	GOLGA8E
KRTAP5-5	KRTAP5-11,KRTAP5.5,KRTAP5.11,KAP5-11,KAP5.5
KRTAP5-AS1	NONHSAG007380.2,HSALNG0082122,KRTAP5-AS1
TUBGCP5	GCP5,KIAA1899,GCP-5
DUSP8	C11orf81,HVH-5,HB5,FLJ42958,HVH8,VH5
ABCB11	PFIC-2,ABC16,SPGP,PGY4,BSEP,PFIC2,BRIC2
SKA1	C18orf24,MGC10200
GOLGA6L1	--
G6PC2	IGRP
HERC2P2	D15F37S3,MN7
LRRC56	DKFZp761L1518,FLJ00101,DNAAF12,CILD39
DHX36	MLEL1,RHAU,KIAA1488,DDX36,G4R1,G4-Resolvase-1
SMN2	SMNC,TDRD16B,BCD541,GEMIN1,Gemin-1,C-BCD541,SMNT,SMN
U3	U3.2,U3,SNODB2054,SNODB1907,SNORD3P2,RF00012,RNU3P2
LINC02549	NONHSAG044070.2,HSALNG0051079,LINC02549
SLC25A51P1	BA707M13.1,MCART3P
ADH5P4	BA707M13.2,ADH5B,RCADH5
HERC2P7	--
SPATA31E3P	FAM75E3P
GOLGA8IP	GOLGA8I,GOLGA9P,FLJ35785
SPC25	SPBC25,AD024,MGC22228,HSpc25,2600017H08Rik
METRNL	Subfatin,Cometin
MAPK4	Erk3-Related,PRKM4,P63-MAPK,ERK-4,Erk4,ERK4,P63MAPK
RNA5SP458	RN5S458
ARHGEF26	SGEF,DKFZP434D146,HMFN1864,CSGEF
PHRF1	KIAA1542,PPP1R125,RNF221
MUC6	Mucin-6,MUC-6
TBCD	SSD-1,TfcD,KIAA0988,PEBAT,SSD1,TFCD
RPS6P22	RPS6_10_1242
NOSTRIN	MGC20702,Nostrin,DaIP2
RPL4P5	RPL4_3_960
RNU6-1025P	--
ARHGEF26-AS1	NONHSAG036436.2,HSALNG0029955,ARHGEF26-AS1
MEGF11	KIAA1781,DKFZp434L121
CDH12P2	C41-CAD,CDH12P
PMCHL2	--
GTF2H2	BTF2P44,T-BTF2P44,TFIIH,BTF2,P44
PAXBP1	GCFC,C21orf66,FSAP105,GCFC1,BM020
LINC01659	NONHSAG033471.2,HSALNG0134397,LINC01659
ZDHHC8P1	FLJ31568,ZDHHC8P
C21orf62	B37,C21orf120,PRED81
C21orf62-AS1	C21orf49,NONHSAG032683.2,HSALNG0132718,HSALNG0132724,HSALNG0132728,HSALNG0132725,HSALNG0132730,C21orf62-AS1
CES5AP1	--
KRTAP5-6	KRTAP5.6,KAP5.6
SDHAP2	SDHALP2,SDHAL2
CYP2D8P	CYP2D8P1,CYP2DP1
FAM230I	LINC01658,NONHSAG033473.2,HSALNG0134400
CYP2D7	CYP2D7P1,CYP2D7P,CYP2D@,CYP2D,CYP2D7AP,RNA40057,P450C2D,P450DB1,CYP2D6
MUC20-OT1	NONHSAG037072.2,NONHSAG037073.2,HSALNG0031820,HSALNG0031832,HSALNG0031831,Lnc-MUC20-67
LINC02557	NONHSAG033475.2,HSALNG0134404,LINC02557
GOLGA8F	DKFZp434P162
B3GNTL1	B3GNT8,Beta-1,3-Gn-T8,Beta3Gn-T8,Beta3GnTL1,BGnT-8,3-Gn-T8,Beta-1
DIS3L-AS1	NONHSAG017216.2,HSALNG0106685,Lnc-MEGF11-1
IFITM10	DSPA3
HERC2P11	--
GOLGA8G	DKFZp434K052,GOLGA8F
GART	GARS-AIRS-GART,PGFT,PRGS,GARTF,AIRS,GARS,PAIS
DECR2	PDCR,SDR17C1
RPS5P3	RPS5L,RPS5_3_1726
DNAJC28	C21orf78,C21orf55,Orf28
KIF26B	FLJ10157
IFNGR2	AF-1,IFNGT1,IFN-Gamma-R-Beta,IFN-Gamma-R2,IFGR2,IMD28
OLA1P1	--
NDUFA6	NADHB14,CI-B14,LYRM6,B14,MC1DN33
SNTB2	SNT3,D16S2531E,EST25263,SNT2B2,SNTL,Beta-2-Syntrophin,Syntrophin-3,Syntrophin-Like
LMNTD2	C11orf35,MGC35138
UTP4	KIAA1988,TEX292,CIRHIN,CIRH1A,NAIC,FLJ14728,CPERP-E,Cirhin
SMDT1	EMRE,C22orf32,DDDD,DJ186O1.1
CYP2D6	P450-DB1,P450C2D,CYP2DL1,CYP2D,CPD6,CYP2D7AP,CYP2D7BP,CYP2D7P2,CYP2D8P2,CYPIID6,P450DB1
NKD2	Naked2,Naked-2,HNkd2
MUC4	Mucin-4,MUC-4,ASGP,HSA276359
MIR210HG	NONHSAG007324.2,HSALNG0081992,MIR210HG
ABCB10P4	--
CSPG4P10	--
RAB11FIP3	Rab11-FIP3,Eferin,Arfophilin-1,KIAA0665,MU-MB-17.148,FIP3-Rab11,CART1,ARFO1
TMEM50B	C21orf4,HCVP7TP3
RNH1	RAI,RNH,PRI
GOLGA6L9	GOLGA6L20
HERC2	D15F37S1,Jdf2,P528,MRT38,SHEP1
TNFRSF14	HVEM,HVEA,TR2,LIGHTR,CD270,ATAR,HveA
GOLGA6L17P	GOLGA6L21P
SLC12A7	KCC4,DKFZP434F076
MUC20	KIAA1359,FLJ14408,Mucin-20,MUC-20
OR2AS2P	--
OR2T6	OST703,OR2T6P,OR2T9
OR2T2	OR2T2P,OR1-43
GOLGA2P10	FLJ22795,AgSK1
OR2T4	OR2T4Q,OR1-60
OR2T7	OST723,OR2T7P
OR2T1	OR1-25
OR2T3	--
OR2T5	OR1-62
TCF20	SPBP,AR1,TCF-20,KIAA0292,DDVIBA
SERF1B	FAM2B,H4F5C,H4F5,FAM2A,SERF1,SMAM1
LINC00235	NCRNA00235,C16orf10,NONHSAG018177.2,LA16c-356B8.1,HSALNG0108743,LINC00235
CAPN15	SOLH,Calpain-15,OGIN
UBE2Q2P6	--
ADAMTS7P1	ADAMTS7P2
NDUFA6-DT	NDUFA6-AS1,NONHSAG034044.2,HSALNG0135687,NDUFA6-DT
NAIP	NLRB1,BIRC1,PsiNAIP
UBE2Q2P2	UBE2Q2P3,UBE2QP2
DRD4	D4DR
DEAF1	ZMYND5,NUDR,SPN,Suppressin,NEDHELS,MRD24,VSVS
TTC34	--
MCCC2	MCCB,MCCCbeta,MCCCβ
MMEL1	NEPII,NL2,MMEL2,SEP,NL1,Neprilysin-2,NEP2(M),NEP2,Neprilysin-II,MELL1
IRF7	IRF-7,IRF-7H,IMD39,IRF7A,IRF7B,IRF7C,IRF7H
OR2W1	Hs6M1-15
BDP1	TFIIIB150,HSA238520,TFIIIB90,KIAA1689,KIAA1241,TFC5,TFNR,TAF3B1,TFIIIB'',DFNB112
NOP56P1	DJ207F6.1,NOP56-L,NOL5BP,NOL5B
OR14J1	Hs6M1-28,OR5U1,BA150A6.4,OR6-25
TRIM27	RNF76,RFP
OR8U9	--
OR8J2	OR8J2P
FAM8A2P	--
LINC00824	LINC01263,NONHSAG051266.2,HSALNG0068532,LINC00824
OR8U8	--
OR8L1P	OR11-115
OR5T3	OR5T3Q,OR11-178
OR5T2	OR11-177
ABR	MDB
OR8K2P	--
OR8I1P	--
OR8K3	OR11-181
LILRA4	ILT7,CD85g,ILT-7
OR8H1	OR11-180
OR5T1	OR5T1P,OR11-179
RPL5P29	RPL5_15_1144
OR8K1	OR11-182,OR8N1P
HRAS	HRAS1,P21ras,C-BAS/HAS,C-HA-RAS1,H-RASIDX,C-H-RAS,H-Ras-1,C-H-Ras,Ha-Ras,HAMSV,RASH1,CTLO
OR8J1	OR11-183
CLK2	--
LAIR1	LAIR-1,CD305,HLAIR1
HCG14	DJ111M5.4,NONHSAG045533.2,NONHSAG046341.2,NONHSAG043331.2,HSALNG0049015,HCG14
RPL13P	DJ111M5.1,BBC1p,RPL13_3_673
ZNF311	ZFP31,Zf31
MMEL1-AS1	NONHSAG000173.2,Lnc-FAM213B-2,HSALNG0000288
PSMB1	PMSB1,HC5,PSC5
PANK4	FLJ10782,HPanK4
FAM120B	KIAA1838,PGCC1,CCPG,SAN1,DJ894D12.1
LMNTD2-AS1	NONHSAG007320.2,HSALNG0081989,Lnc-RASSF7-1
LINC01623	XXbac-BPG308K3.6,NONHSAG046009.2,NONHSAG045628.2,NONHSAG046339.2,NONHSAG045531.2,NONHSAG046172.2,NONHSAG043329.2,NONHSAG046525.2,NONHSAG045823.2,HSALNG0049010,LINC01623
LINC01015	NONHSAG046023.2,NONHSAG045544.2,NONHSAG045836.2,NONHSAG045645.2,NONHSAG043358.2,NONHSAG046184.2,NONHSAG046543.2,NONHSAG046357.2,HSALNG0049066,DAQB-12N14.5,LINC01015
RASSF7	HRC1,C11orf13,CFAP88,HRAS1,FAP88
OR2B3	OR6-4,OR2B3P,Hs6M1-1,OR6-14,6M1-1
HCG22	PBMUCL2,FLJ37114,G2
LST1	B144,D6S49E,LST-1
PKLR	PK1,PKL,PKRL,RPK
SMN1	SMNT,TDRD16A,Gemin-1,BCD541,GEMIN1,SMA1,SMA2,SMA3,SMA@,SMA,SMN,T-BCD541,SMA4,SMNC
CDHR5	MU-PCDH,MUCDHL,MUPCDH,Mu-Protocadherin,FLJ20219,MLPCDH
TARM1	OLT-2
MBOAT7	BB1,HMBOA-7,LPLAT,LENG4,H-Mboa-7,LPIAT,OACT7,MBOA7,MRT57,LRC4
CNOT3	LENG2,KIAA0691,NOT3H,NOT3,IDDSADF
MTX1P1	MTX1P,MTXP,PsMTX
LILRB2	MIR-10,LIR-2,MIR10,ILT4,LIR2,CD85d,ILT-4,CD85D
PLCH2	PLC-Eta2,KIAA0450,PLCeta2,PLCL4,RP3-395M20.1,PLC-L4
SCAMP3	C1orf3,PROPIN1
LINC02197	NONHSAG040652.2,HSALNG0042527,LINC02197
DLL1	H-Delta-1,DELTA1,NEDBAS,Delta1,Delta,DL1
AADACL2	MGC72001
SERF1A	FAM2A,SMAM1,H4F5,SERF1,4F5,FAM2B
LINC02066	NONHSAG036404.2,LINC02066
LINC01624	TCONS_00011425,NONHSAG045511.2,HSALNG0055432,LINC01624
AADACL2-AS1	NONHSAG036403.2,HSALNG0029854,HSALNG0029842,Lnc-IGSF10-1,AADACL2-AS1
RDH13	SDR7C3
TSEN34	SEN34,SEN34L,LENG5,CTD-3093M3.1,HsSen34,PCH2C
ICE2P1	NARG2P1
GBA	GBA1,GLUC,Cholesteryl-Beta-Glucosidase,Beta-Glucocerebrosidase,Imiglucerase,Alglucerase,Beta-GC,SGTase,Glucosylceramidase,GCB,GC
LINC01060	NONHSAG039581.2,HSALNG0039283,HSALNG0039289,LINC01060
GP6	GPVI,BDPLT11,GPIV
HES5	BHLHb38,BHLHB38
TNFRSF14-AS1	ENST00000416860.2,NONHSAG000163.2,HSALNG0000276,HSALNG0000277,TNFRSF14-AS1
PRXL2B	C1orf93,FAM213B,MGC26818
OR2J3	OR6-6,HS6M1-3,OR6.3.6,Hs6M1-3,C3HEXS,OR6-16,ORL671,6M1-3
HLA-H	HLA-12.4,HLA-AR,HLAHP,HLAH
MICB	PERB11.2,MIC-B
SCT	Prepro-Secretin
PTDSS2	PSS2,PSS-2
TMC4	--
KCNIP4	KCHIP4,CALP,MGC44947,KChIP4
SLC5A8	AIT,SMCT1,SMCT
TIMM22	TIM22,TEX4,COXPD43
OR2U2P	Hs6M1-23,OR6-24
TRIM10	RFB30,HERF1,RNF9
LENG1	--
NXN	NRX,FLJ12614,TRG-4,RRS2
VSTM1	UNQ3033,SIRL-1,SIRL1
ANO4	TMEM16D,Anoctamin-4,FLJ34221,FLJ34272,FLJ35277
MICG	--
RNF39	FAP216,LIRF,HZFw1,HZFW,HZF
KIR3DX1	LENG12,FLJ00060,KIR3DL0
HCN3	KIAA1535
ZNF90P2	DJ111M5.3,ZNF463P
LILRA5	ILT11,LIR9,LILRB7,CD85,ILT-11,CD85f,LIR-9,CD85F
MUC21	Epiglycanin,C6orf205,BCX31G15.2,Mucin-21,MUC-21,KMQK697
UGT2A3	FLJ21934
HCG15	DJ25J6.6,DJ25J6.7,HCG16,NONHSAG045825.2,NONHSAG045635.2,NONHSAG043339.2,NONHSAG045536.2,NONHSAG046013.2,NONHSAG046346.2,NONHSAG046533.2,HSALNG0049030,HCG15
TRIM31-AS1	XXbac-BPG250I8.13,NONHSAG046211.2,NONHSAG043397.2,NONHSAG045867.2,NONHSAG046052.2,NONHSAG046385.2,NONHSAG045674.2,HSALNG0049120,Lnc-TRIM40-5
TNF	TNF-Alpha,TNFSF2,TNFA,DIF,TNF-A,Cachectin,TNLG1F
RPS9	S9
OR11A1	Hs6M1-18,OR11A2,DJ994E9.6,6M1-18
FAM189B	C1orf2,Cote1,COTE1
UGT2B27P	--
MOG	BTNL11,BTN6,MOGIG2,NRCLP7
UGT2B29P	--
LILRB1	LIR-1,MIR-7,ILT2,LIR1,PIR-B,PIRB,CD85j,ILT-2,CD85,MIR7,CD85J
UGT2B10	UDPGT2B10
NLRP7	PYPAF3,NOD12,CLR19.4,NALP7,PAN7,HYDM
OSCAR	PIgR-3,HOSCAR,PIGR3,PIgR3
UGT2B15	UGT2B8,HLUG4,UDPGT2B15,UDPGTh-3,UDPGTH3
MT2P1	--
TMPRSS11E	DESC1,TMPRSS11E2
LAIR2	LAIR-2,CD306
PCGF7P	RNF134P1
ZNF729	--
ZNF676	--
ZNF92P2	--
MTDHP5	--
VN1R85P	--
BNIP3P31	--
YTHDC1	YT521-B,YT521,KIAA1966
BNIP3P30	--
LILRB4	LIR-5,ILT3,LIR5,CD85k,ILT-3,HM18,CD85K
TFPT	INO80F,Amida,FB1
NLRP2	PYPAF2,NBS1,PAN1,CLR19.9,NALP2,FLJ20510
DEFB104B	DEFB-4,HBD-4,BD-4,DEFB104,DEFB4
DEFB105B	DEFB-5,BD-5,DEFB105,DEFB5,BD5
PRR23D1	PRR23D2
DEFB4B	DEFB4P,DEFB102,DEFB2,DEFB4,HBD-2,BD-2,SAP1
NDUFA3	B9,CI-B9
FAM90A7P	FAM90A7
DEFB103B	DEFB103,DEFB-3,DEFB3,HBD-3,BD-3,HBD3,HBP-3,HBP3,BD3
